Year,State,LaborForceParticipation
1985/2/1,Minnesota,71.5
1985/2/1,Mississippi,59.9
1985/2/1,Missouri,64.2
1985/2/1,Montana,67.2
1985/2/1,Nebraska,68.1
1985/2/1,Nevada,72.1
1985/2/1,New Hampshire,70.9
1985/2/1,New Jersey,65.2
1985/2/1,New Mexico,63
1985/2/1,New York,59.9
1985/2/1,North Carolina,66.4
1985/2/1,North Dakota,67.1
1985/2/1,Ohio,63.6
1985/2/1,Oklahoma,64.6
1985/2/1,Oregon,65.6
1985/2/1,Pennsylvania,60.1
1985/2/1,Rhode Island,66.6
1985/2/1,South Carolina,63.6
1985/2/1,South Dakota,68.1
1985/2/1,Tennessee,62.8
1985/2/1,Texas,68.9
1985/2/1,Utah,68.7
1985/2/1,Vermont,68.9
1985/2/1,Virginia,68.3
1985/2/1,Washington,64.5
1985/2/1,West Virginia,51.9
1985/2/1,Wisconsin,67.3
1985/2/1,Wyoming,70.9
1985/3/1,Alabama,60.9
1985/3/1,Alaska,72.9
1985/3/1,Arizona,63.4
1985/3/1,Arkansas,60.2
1985/3/1,California,66.2
1985/3/1,Colorado,72.2
1985/3/1,Connecticut,68.8
1985/3/1,Delaware,66.9
1985/3/1,District of Columbia,67
1985/3/1,Florida,60.1
1985/3/1,Georgia,66
1985/3/1,Hawaii,65.7
1985/3/1,Idaho,66.7
1985/3/1,Illinois,65.6
1985/3/1,Indiana,65.9
1985/3/1,Iowa,66
1985/3/1,Kansas,68.6
1985/3/1,Kentucky,62
1985/3/1,Louisiana,61.5
1985/3/1,Maine,63.7
1985/3/1,Maryland,68.4
1985/3/1,Massachusetts,67.6
1985/3/1,Michigan,64.3
1985/3/1,Minnesota,71.5
1985/3/1,Mississippi,60
1985/3/1,Missouri,64.3
1985/3/1,Montana,67.2
1985/3/1,Nebraska,68.3
1985/3/1,Nevada,72
1985/3/1,New Hampshire,71
1985/3/1,New Jersey,65.2
1985/3/1,New Mexico,63.2
1985/3/1,New York,59.9
1985/3/1,North Carolina,66.4
1985/3/1,North Dakota,67.4
1985/3/1,Ohio,63.5
1985/3/1,Oklahoma,64.6
1985/3/1,Oregon,65.5
1985/3/1,Pennsylvania,60.1
1985/3/1,Rhode Island,66.7
1985/3/1,South Carolina,63.7
1985/3/1,South Dakota,68.3
1985/3/1,Tennessee,62.8
1985/3/1,Texas,68.9
1985/3/1,Utah,68.8
1985/3/1,Vermont,69.1
1985/3/1,Virginia,68.2
1985/3/1,Washington,64.6
1985/3/1,West Virginia,51.8
1985/3/1,Wisconsin,67.2
1985/3/1,Wyoming,70.9
1985/4/1,Alabama,60.8
1985/4/1,Alaska,72.7
1985/4/1,Arizona,63.3
1985/4/1,Arkansas,60.3
1985/4/1,California,66.1
1985/4/1,Colorado,72.1
1985/4/1,Connecticut,68.8
1985/4/1,Delaware,66.9
1985/4/1,District of Columbia,66.8
1985/4/1,Florida,60
1985/4/1,Georgia,66
1985/4/1,Hawaii,65.7
1985/4/1,Idaho,66.7
1985/4/1,Illinois,65.6
1985/4/1,Indiana,66
1985/4/1,Iowa,66.1
1985/4/1,Kansas,68.6
1985/4/1,Kentucky,61.9
1985/4/1,Louisiana,61.6
1985/4/1,Maine,63.6
1985/4/1,Maryland,68.2
1985/4/1,Massachusetts,67.5
1985/4/1,Michigan,64.2
1985/4/1,Minnesota,71.5
1985/4/1,Mississippi,60
1985/4/1,Missouri,64.4
1985/4/1,Montana,67.1
1985/4/1,Nebraska,68.5
1985/4/1,Nevada,71.9
1985/4/1,New Hampshire,71
1985/4/1,New Jersey,65.2
1985/4/1,New Mexico,63.2
1985/4/1,New York,60.3
1985/4/1,North Carolina,66.4
1985/4/1,North Dakota,67.5
1985/4/1,Ohio,63.5
1985/4/1,Oklahoma,64.6
1985/4/1,Oregon,65.4
1985/4/1,Pennsylvania,60.1
1985/4/1,Rhode Island,66.6
1985/4/1,South Carolina,63.7
1985/4/1,South Dakota,68.3
1985/4/1,Tennessee,62.7
1985/4/1,Texas,68.9
1985/4/1,Utah,68.9
1985/4/1,Vermont,69.1
1985/4/1,Virginia,68.2
1985/4/1,Washington,64.6
1985/4/1,West Virginia,51.7
1985/4/1,Wisconsin,67.1
1985/4/1,Wyoming,71
1985/5/1,Alabama,60.7
1985/5/1,Alaska,72.7
1985/5/1,Arizona,63.1
1985/5/1,Arkansas,60.4
1985/5/1,California,66
1985/5/1,Colorado,72
1985/5/1,Connecticut,68.7
1985/5/1,Delaware,66.9
1985/5/1,District of Columbia,66.6
1985/5/1,Florida,59.9
1985/5/1,Georgia,65.9
1985/5/1,Hawaii,65.7
1985/5/1,Idaho,66.8
1985/5/1,Illinois,65.5
1985/5/1,Indiana,66.1
1985/5/1,Iowa,66.1
1985/5/1,Kansas,68.6
1985/5/1,Kentucky,61.8
1985/5/1,Louisiana,61.6
1985/5/1,Maine,63.4
1985/5/1,Maryland,68.2
1985/5/1,Massachusetts,67.4
1985/5/1,Michigan,64.1
1985/5/1,Minnesota,71.5
1985/5/1,Mississippi,60
1985/5/1,Missouri,64.4
1985/5/1,Montana,66.9
1985/5/1,Nebraska,68.5
1985/5/1,Nevada,71.7
1985/5/1,New Hampshire,70.9
1985/5/1,New Jersey,65.2
1985/5/1,New Mexico,63.3
1985/5/1,New York,60.5
1985/5/1,North Carolina,66.4
1985/5/1,North Dakota,67.5
1985/5/1,Ohio,63.5
1985/5/1,Oklahoma,64.6
1985/5/1,Oregon,65.4
1985/5/1,Pennsylvania,60.1
1985/5/1,Rhode Island,66.6
1985/5/1,South Carolina,63.8
1985/5/1,South Dakota,68.4
1985/5/1,Tennessee,62.7
1985/5/1,Texas,68.8
1985/5/1,Utah,68.9
1985/5/1,Vermont,69.3
1985/5/1,Virginia,68.1
1985/5/1,Washington,64.7
1985/5/1,West Virginia,51.5
1985/5/1,Wisconsin,67
1985/5/1,Wyoming,71
1985/6/1,Alabama,60.6
1985/6/1,Alaska,72.5
1985/6/1,Arizona,63.1
1985/6/1,Arkansas,60.4
1985/6/1,California,65.9
1985/6/1,Colorado,71.8
1985/6/1,Connecticut,68.7
1985/6/1,Delaware,67.2
1985/6/1,District of Columbia,66.5
1985/6/1,Florida,59.8
1985/6/1,Georgia,65.8
1985/6/1,Hawaii,65.8
1985/6/1,Idaho,66.7
1985/6/1,Illinois,65.4
1985/6/1,Indiana,66.1
1985/6/1,Iowa,66.1
1985/6/1,Kansas,68.6
1985/6/1,Kentucky,61.7
1985/6/1,Louisiana,61.6
1985/6/1,Maine,63.2
1985/6/1,Maryland,68.1
1985/6/1,Massachusetts,67.3
1985/6/1,Michigan,64.1
1985/6/1,Minnesota,71.5
1985/6/1,Mississippi,60
1985/6/1,Missouri,64.5
1985/6/1,Montana,66.9
1985/6/1,Nebraska,68.6
1985/6/1,Nevada,71.5
1985/6/1,New Hampshire,71
1985/6/1,New Jersey,65.2
1985/6/1,New Mexico,63.3
1985/6/1,New York,60.7
1985/6/1,North Carolina,66.4
1985/6/1,North Dakota,67.6
1985/6/1,Ohio,63.5
1985/6/1,Oklahoma,64.6
1985/6/1,Oregon,65.3
1985/6/1,Pennsylvania,60.2
1985/6/1,Rhode Island,66.5
1985/6/1,South Carolina,63.8
1985/6/1,South Dakota,68.5
1985/6/1,Tennessee,62.6
1985/6/1,Texas,68.8
1985/6/1,Utah,68.9
1985/6/1,Vermont,69.3
1985/6/1,Virginia,68
1985/6/1,Washington,64.7
1985/6/1,West Virginia,51.4
1985/6/1,Wisconsin,66.9
1985/6/1,Wyoming,71.1
1985/7/1,Alabama,60.6
1985/7/1,Alaska,72.6
1985/7/1,Arizona,63.1
1985/7/1,Arkansas,60.5
1985/7/1,California,65.8
1985/7/1,Colorado,71.7
1985/7/1,Connecticut,68.7
1985/7/1,Delaware,67.3
1985/7/1,District of Columbia,66.4
1985/7/1,Florida,59.8
1985/7/1,Georgia,65.8
1985/7/1,Hawaii,65.8
1985/7/1,Idaho,66.7
1985/7/1,Illinois,65.4
1985/7/1,Indiana,66.1
1985/7/1,Iowa,66.2
1985/7/1,Kansas,68.6
1985/7/1,Kentucky,61.7
1985/7/1,Louisiana,61.6
1985/7/1,Maine,63.1
1985/7/1,Maryland,68.1
1985/7/1,Massachusetts,67.2
1985/7/1,Michigan,64.1
1985/7/1,Minnesota,71.6
1985/7/1,Mississippi,60.1
1985/7/1,Missouri,64.6
1985/7/1,Montana,66.8
1985/7/1,Nebraska,68.7
1985/7/1,Nevada,71.3
1985/7/1,New Hampshire,71
1985/7/1,New Jersey,65.2
1985/7/1,New Mexico,63.3
1985/7/1,New York,60.8
1985/7/1,North Carolina,66.4
1985/7/1,North Dakota,67.7
1985/7/1,Ohio,63.5
1985/7/1,Oklahoma,64.6
1985/7/1,Oregon,65.3
1985/7/1,Pennsylvania,60.2
1985/7/1,Rhode Island,66.5
1985/7/1,South Carolina,63.9
1985/7/1,South Dakota,68.5
1985/7/1,Tennessee,62.5
1985/7/1,Texas,68.7
1985/7/1,Utah,69
1985/7/1,Vermont,69.5
1985/7/1,Virginia,68
1985/7/1,Washington,64.7
1985/7/1,West Virginia,51.3
1985/7/1,Wisconsin,66.9
1985/7/1,Wyoming,71.1
1985/8/1,Alabama,60.6
1985/8/1,Alaska,72.5
1985/8/1,Arizona,63.2
1985/8/1,Arkansas,60.5
1985/8/1,California,65.9
1985/8/1,Colorado,71.5
1985/8/1,Connecticut,68.9
1985/8/1,Delaware,67.3
1985/8/1,District of Columbia,66.4
1985/8/1,Florida,59.8
1985/8/1,Georgia,65.8
1985/8/1,Hawaii,66
1985/8/1,Idaho,66.6
1985/8/1,Illinois,65.4
1985/8/1,Indiana,66.1
1985/8/1,Iowa,66.3
1985/8/1,Kansas,68.6
1985/8/1,Kentucky,61.7
1985/8/1,Louisiana,61.6
1985/8/1,Maine,63.1
1985/8/1,Maryland,68.1
1985/8/1,Massachusetts,67.2
1985/8/1,Michigan,64.1
1985/8/1,Minnesota,71.7
1985/8/1,Mississippi,60.2
1985/8/1,Missouri,64.6
1985/8/1,Montana,66.8
1985/8/1,Nebraska,68.7
1985/8/1,Nevada,71.3
1985/8/1,New Hampshire,71.1
1985/8/1,New Jersey,65.3
1985/8/1,New Mexico,63.3
1985/8/1,New York,60.9
1985/8/1,North Carolina,66.6
1985/8/1,North Dakota,67.8
1985/8/1,Ohio,63.6
1985/8/1,Oklahoma,64.7
1985/8/1,Oregon,65.3
1985/8/1,Pennsylvania,60.3
1985/8/1,Rhode Island,66.6
1985/8/1,South Carolina,63.9
1985/8/1,South Dakota,68.4
1985/8/1,Tennessee,62.4
1985/8/1,Texas,68.7
1985/8/1,Utah,69.2
1985/8/1,Vermont,69.7
1985/8/1,Virginia,67.9
1985/8/1,Washington,64.7
1985/8/1,West Virginia,51.3
1985/8/1,Wisconsin,66.9
1985/8/1,Wyoming,71
1985/9/1,Alabama,60.7
1985/9/1,Alaska,72.5
1985/9/1,Arizona,63.3
1985/9/1,Arkansas,60.5
1985/9/1,California,65.9
1985/9/1,Colorado,71.4
1985/9/1,Connecticut,69
1985/9/1,Delaware,67.5
1985/9/1,District of Columbia,66.5
1985/9/1,Florida,59.8
1985/9/1,Georgia,65.9
1985/9/1,Hawaii,66.1
1985/9/1,Idaho,66.5
1985/9/1,Illinois,65.5
1985/9/1,Indiana,66.1
1985/9/1,Iowa,66.4
1985/9/1,Kansas,68.6
1985/9/1,Kentucky,61.8
1985/9/1,Louisiana,61.7
1985/9/1,Maine,63.3
1985/9/1,Maryland,68.1
1985/9/1,Massachusetts,67.2
1985/9/1,Michigan,64.2
1985/9/1,Minnesota,71.7
1985/9/1,Mississippi,60.4
1985/9/1,Missouri,64.7
1985/9/1,Montana,66.9
1985/9/1,Nebraska,68.8
1985/9/1,Nevada,71.3
1985/9/1,New Hampshire,71.3
1985/9/1,New Jersey,65.3
1985/9/1,New Mexico,63.3
1985/9/1,New York,61.1
1985/9/1,North Carolina,66.8
1985/9/1,North Dakota,68
1985/9/1,Ohio,63.8
1985/9/1,Oklahoma,64.8
1985/9/1,Oregon,65.4
1985/9/1,Pennsylvania,60.4
1985/9/1,Rhode Island,66.7
1985/9/1,South Carolina,64
1985/9/1,South Dakota,68.5
1985/9/1,Tennessee,62.5
1985/9/1,Texas,68.7
1985/9/1,Utah,69.2
1985/9/1,Vermont,69.8
1985/9/1,Virginia,67.9
1985/9/1,Washington,64.7
1985/9/1,West Virginia,51.2
1985/9/1,Wisconsin,67
1985/9/1,Wyoming,70.8
1985/10/1,Alabama,60.8
1985/10/1,Alaska,72.8
1985/10/1,Arizona,63.5
1985/10/1,Arkansas,60.5
1985/10/1,California,65.9
1985/10/1,Colorado,71.3
1985/10/1,Connecticut,69.2
1985/10/1,Delaware,67.4
1985/10/1,District of Columbia,66.5
1985/10/1,Florida,59.9
1985/10/1,Georgia,66
1985/10/1,Hawaii,66.2
1985/10/1,Idaho,66.6
1985/10/1,Illinois,65.5
1985/10/1,Indiana,66.2
1985/10/1,Iowa,66.5
1985/10/1,Kansas,68.7
1985/10/1,Kentucky,61.8
1985/10/1,Louisiana,61.7
1985/10/1,Maine,63.4
1985/10/1,Maryland,68.2
1985/10/1,Massachusetts,67.2
1985/10/1,Michigan,64.1
1985/10/1,Minnesota,71.8
1985/10/1,Mississippi,60.6
1985/10/1,Missouri,64.8
1985/10/1,Montana,67
1985/10/1,Nebraska,69
1985/10/1,Nevada,71.5
1985/10/1,New Hampshire,71.6
1985/10/1,New Jersey,65.4
1985/10/1,New Mexico,63.4
1985/10/1,New York,61.2
1985/10/1,North Carolina,67
1985/10/1,North Dakota,68.1
1985/10/1,Ohio,63.9
1985/10/1,Oklahoma,64.9
1985/10/1,Oregon,65.5
1985/10/1,Pennsylvania,60.5
1985/10/1,Rhode Island,66.8
1985/10/1,South Carolina,64
1985/10/1,South Dakota,68.4
1985/10/1,Tennessee,62.6
1985/10/1,Texas,68.7
1985/10/1,Utah,69.3
1985/10/1,Vermont,70.1
1985/10/1,Virginia,67.8
1985/10/1,Washington,64.7
1985/10/1,West Virginia,51.1
1985/10/1,Wisconsin,67.1
1985/10/1,Wyoming,70.8
1985/11/1,Alabama,60.9
1985/11/1,Alaska,72.8
1985/11/1,Arizona,63.6
1985/11/1,Arkansas,60.5
1985/11/1,California,66
1985/11/1,Colorado,71.1
1985/11/1,Connecticut,69.3
1985/11/1,Delaware,67.3
1985/11/1,District of Columbia,66.6
1985/11/1,Florida,59.9
1985/11/1,Georgia,66
1985/11/1,Hawaii,66.2
1985/11/1,Idaho,66.6
1985/11/1,Illinois,65.6
1985/11/1,Indiana,66.2
1985/11/1,Iowa,66.7
1985/11/1,Kansas,68.7
1985/11/1,Kentucky,61.8
1985/11/1,Louisiana,61.7
1985/11/1,Maine,63.6
1985/11/1,Maryland,68.2
1985/11/1,Massachusetts,67.3
1985/11/1,Michigan,64.1
1985/11/1,Minnesota,71.7
1985/11/1,Mississippi,60.7
1985/11/1,Missouri,64.9
1985/11/1,Montana,67.1
1985/11/1,Nebraska,69.1
1985/11/1,Nevada,71.6
1985/11/1,New Hampshire,71.8
1985/11/1,New Jersey,65.5
1985/11/1,New Mexico,63.4
1985/11/1,New York,61.3
1985/11/1,North Carolina,67.2
1985/11/1,North Dakota,68.2
1985/11/1,Ohio,64
1985/11/1,Oklahoma,65
1985/11/1,Oregon,65.6
1985/11/1,Pennsylvania,60.6
1985/11/1,Rhode Island,66.9
1985/11/1,South Carolina,64
1985/11/1,South Dakota,68.5
1985/11/1,Tennessee,62.7
1985/11/1,Texas,68.7
1985/11/1,Utah,69.4
1985/11/1,Vermont,70.1
1985/11/1,Virginia,67.8
1985/11/1,Washington,64.8
1985/11/1,West Virginia,51.1
1985/11/1,Wisconsin,67.1
1985/11/1,Wyoming,70.7
1985/12/1,Alabama,61.1
1985/12/1,Alaska,72.9
1985/12/1,Arizona,63.8
1985/12/1,Arkansas,60.5
1985/12/1,California,66
1985/12/1,Colorado,71
1985/12/1,Connecticut,69.4
1985/12/1,Delaware,67.3
1985/12/1,District of Columbia,66.7
1985/12/1,Florida,60
1985/12/1,Georgia,66.1
1985/12/1,Hawaii,66.3
1985/12/1,Idaho,66.6
1985/12/1,Illinois,65.6
1985/12/1,Indiana,66.3
1985/12/1,Iowa,66.8
1985/12/1,Kansas,68.6
1985/12/1,Kentucky,61.8
1985/12/1,Louisiana,61.7
1985/12/1,Maine,63.7
1985/12/1,Maryland,68.3
1985/12/1,Massachusetts,67.3
1985/12/1,Michigan,64
1985/12/1,Minnesota,71.6
1985/12/1,Mississippi,60.9
1985/12/1,Missouri,65
1985/12/1,Montana,67.2
1985/12/1,Nebraska,69.1
1985/12/1,Nevada,71.6
1985/12/1,New Hampshire,71.9
1985/12/1,New Jersey,65.5
1985/12/1,New Mexico,63.4
1985/12/1,New York,61.3
1985/12/1,North Carolina,67.2
1985/12/1,North Dakota,68.3
1985/12/1,Ohio,64.1
1985/12/1,Oklahoma,65.1
1985/12/1,Oregon,65.7
1985/12/1,Pennsylvania,60.7
1985/12/1,Rhode Island,66.9
1985/12/1,South Carolina,64
1985/12/1,South Dakota,68.5
1985/12/1,Tennessee,62.9
1985/12/1,Texas,68.7
1985/12/1,Utah,69.4
1985/12/1,Vermont,70.3
1985/12/1,Virginia,67.7
1985/12/1,Washington,64.9
1985/12/1,West Virginia,51
1985/12/1,Wisconsin,67.2
1985/12/1,Wyoming,70.7
1986/1/1,Alabama,61.2
1986/1/1,Alaska,72.9
1986/1/1,Arizona,63.9
1986/1/1,Arkansas,60.5
1986/1/1,California,66
1986/1/1,Colorado,70.9
1986/1/1,Connecticut,69.4
1986/1/1,Delaware,67.2
1986/1/1,District of Columbia,66.7
1986/1/1,Florida,60.1
1986/1/1,Georgia,66.2
1986/1/1,Hawaii,66.3
1986/1/1,Idaho,66.6
1986/1/1,Illinois,65.6
1986/1/1,Indiana,66.3
1986/1/1,Iowa,67
1986/1/1,Kansas,68.6
1986/1/1,Kentucky,61.7
1986/1/1,Louisiana,61.7
1986/1/1,Maine,63.7
1986/1/1,Maryland,68.4
1986/1/1,Massachusetts,67.3
1986/1/1,Michigan,63.9
1986/1/1,Minnesota,71.5
1986/1/1,Mississippi,61
1986/1/1,Missouri,65
1986/1/1,Montana,67.2
1986/1/1,Nebraska,69.1
1986/1/1,Nevada,71.6
1986/1/1,New Hampshire,71.9
1986/1/1,New Jersey,65.5
1986/1/1,New Mexico,63.4
1986/1/1,New York,61.4
1986/1/1,North Carolina,67.2
1986/1/1,North Dakota,68.3
1986/1/1,Ohio,64.2
1986/1/1,Oklahoma,65.1
1986/1/1,Oregon,65.9
1986/1/1,Pennsylvania,60.8
1986/1/1,Rhode Island,66.9
1986/1/1,South Carolina,64.1
1986/1/1,South Dakota,68.6
1986/1/1,Tennessee,63
1986/1/1,Texas,68.7
1986/1/1,Utah,69.4
1986/1/1,Vermont,70.5
1986/1/1,Virginia,67.6
1986/1/1,Washington,65
1986/1/1,West Virginia,51.1
1986/1/1,Wisconsin,67.2
1986/1/1,Wyoming,70.5
1986/2/1,Alabama,61.4
1986/2/1,Alaska,73.2
1986/2/1,Arizona,64.2
1986/2/1,Arkansas,60.6
1986/2/1,California,66.1
1986/2/1,Colorado,70.8
1986/2/1,Connecticut,69.4
1986/2/1,Delaware,67.2
1986/2/1,District of Columbia,66.8
1986/2/1,Florida,60.2
1986/2/1,Georgia,66.3
1986/2/1,Hawaii,66.2
1986/2/1,Idaho,66.7
1986/2/1,Illinois,65.6
1986/2/1,Indiana,66.4
1986/2/1,Iowa,67.1
1986/2/1,Kansas,68.6
1986/2/1,Kentucky,61.7
1986/2/1,Louisiana,61.6
1986/2/1,Maine,63.7
1986/2/1,Maryland,68.6
1986/2/1,Massachusetts,67.3
1986/2/1,Michigan,63.9
1986/2/1,Minnesota,71.3
1986/2/1,Mississippi,61.1
1986/2/1,Missouri,65
1986/2/1,Montana,67.2
1986/2/1,Nebraska,69.1
1986/2/1,Nevada,71.7
1986/2/1,New Hampshire,71.9
1986/2/1,New Jersey,65.5
1986/2/1,New Mexico,63.4
1986/2/1,New York,61.4
1986/2/1,North Carolina,67.1
1986/2/1,North Dakota,68.2
1986/2/1,Ohio,64.3
1986/2/1,Oklahoma,65.2
1986/2/1,Oregon,66
1986/2/1,Pennsylvania,60.9
1986/2/1,Rhode Island,66.8
1986/2/1,South Carolina,64.2
1986/2/1,South Dakota,68.5
1986/2/1,Tennessee,63
1986/2/1,Texas,68.6
1986/2/1,Utah,69.5
1986/2/1,Vermont,70.4
1986/2/1,Virginia,67.6
1986/2/1,Washington,65.2
1986/2/1,West Virginia,51.1
1986/2/1,Wisconsin,67.2
1986/2/1,Wyoming,70.5
1986/3/1,Alabama,61.6
1986/3/1,Alaska,73.2
1986/3/1,Arizona,64.4
1986/3/1,Arkansas,60.6
1986/3/1,California,66.2
1986/3/1,Colorado,70.7
1986/3/1,Connecticut,69.5
1986/3/1,Delaware,67.4
1986/3/1,District of Columbia,66.8
1986/3/1,Florida,60.3
1986/3/1,Georgia,66.5
1986/3/1,Hawaii,66.2
1986/3/1,Idaho,66.7
1986/3/1,Illinois,65.6
1986/3/1,Indiana,66.4
1986/3/1,Iowa,67.2
1986/3/1,Kansas,68.6
1986/3/1,Kentucky,61.8
1986/3/1,Louisiana,61.5
1986/3/1,Maine,63.8
1986/3/1,Maryland,68.8
1986/3/1,Massachusetts,67.2
1986/3/1,Michigan,64
1986/3/1,Minnesota,71.3
1986/3/1,Mississippi,61.3
1986/3/1,Missouri,65.1
1986/3/1,Montana,67.3
1986/3/1,Nebraska,69
1986/3/1,Nevada,71.8
1986/3/1,New Hampshire,71.9
1986/3/1,New Jersey,65.5
1986/3/1,New Mexico,63.3
1986/3/1,New York,61.4
1986/3/1,North Carolina,67.1
1986/3/1,North Dakota,68.2
1986/3/1,Ohio,64.3
1986/3/1,Oklahoma,65.3
1986/3/1,Oregon,66.1
1986/3/1,Pennsylvania,61
1986/3/1,Rhode Island,66.8
1986/3/1,South Carolina,64.4
1986/3/1,South Dakota,68.4
1986/3/1,Tennessee,63.1
1986/3/1,Texas,68.5
1986/3/1,Utah,69.5
1986/3/1,Vermont,70.6
1986/3/1,Virginia,67.6
1986/3/1,Washington,65.4
1986/3/1,West Virginia,51.2
1986/3/1,Wisconsin,67.3
1986/3/1,Wyoming,70.6
1986/4/1,Alabama,61.7
1986/4/1,Alaska,73.2
1986/4/1,Arizona,64.6
1986/4/1,Arkansas,60.7
1986/4/1,California,66.3
1986/4/1,Colorado,70.6
1986/4/1,Connecticut,69.6
1986/4/1,Delaware,67.5
1986/4/1,District of Columbia,67
1986/4/1,Florida,60.5
1986/4/1,Georgia,66.7
1986/4/1,Hawaii,66.2
1986/4/1,Idaho,66.8
1986/4/1,Illinois,65.6
1986/4/1,Indiana,66.4
1986/4/1,Iowa,67.3
1986/4/1,Kansas,68.6
1986/4/1,Kentucky,61.8
1986/4/1,Louisiana,61.3
1986/4/1,Maine,63.9
1986/4/1,Maryland,69
1986/4/1,Massachusetts,67.2
1986/4/1,Michigan,64
1986/4/1,Minnesota,71.2
1986/4/1,Mississippi,61.5
1986/4/1,Missouri,65.3
1986/4/1,Montana,67.3
1986/4/1,Nebraska,69
1986/4/1,Nevada,72
1986/4/1,New Hampshire,71.9
1986/4/1,New Jersey,65.5
1986/4/1,New Mexico,63.3
1986/4/1,New York,61.5
1986/4/1,North Carolina,67.2
1986/4/1,North Dakota,68.1
1986/4/1,Ohio,64.4
1986/4/1,Oklahoma,65.4
1986/4/1,Oregon,66.2
1986/4/1,Pennsylvania,61
1986/4/1,Rhode Island,66.8
1986/4/1,South Carolina,64.6
1986/4/1,South Dakota,68.4
1986/4/1,Tennessee,63.1
1986/4/1,Texas,68.5
1986/4/1,Utah,69.6
1986/4/1,Vermont,70.6
1986/4/1,Virginia,67.6
1986/4/1,Washington,65.5
1986/4/1,West Virginia,51.3
1986/4/1,Wisconsin,67.4
1986/4/1,Wyoming,70.6
1986/5/1,Alabama,61.8
1986/5/1,Alaska,73
1986/5/1,Arizona,64.8
1986/5/1,Arkansas,60.8
1986/5/1,California,66.4
1986/5/1,Colorado,70.5
1986/5/1,Connecticut,69.7
1986/5/1,Delaware,67.6
1986/5/1,District of Columbia,67
1986/5/1,Florida,60.7
1986/5/1,Georgia,66.9
1986/5/1,Hawaii,66.1
1986/5/1,Idaho,66.8
1986/5/1,Illinois,65.7
1986/5/1,Indiana,66.5
1986/5/1,Iowa,67.4
1986/5/1,Kansas,68.7
1986/5/1,Kentucky,61.9
1986/5/1,Louisiana,61.2
1986/5/1,Maine,64
1986/5/1,Maryland,69.2
1986/5/1,Massachusetts,67.2
1986/5/1,Michigan,64.1
1986/5/1,Minnesota,71.2
1986/5/1,Mississippi,61.7
1986/5/1,Missouri,65.4
1986/5/1,Montana,67.2
1986/5/1,Nebraska,69
1986/5/1,Nevada,72.2
1986/5/1,New Hampshire,71.9
1986/5/1,New Jersey,65.5
1986/5/1,New Mexico,63.3
1986/5/1,New York,61.5
1986/5/1,North Carolina,67.3
1986/5/1,North Dakota,68.1
1986/5/1,Ohio,64.4
1986/5/1,Oklahoma,65.5
1986/5/1,Oregon,66.4
1986/5/1,Pennsylvania,61
1986/5/1,Rhode Island,67
1986/5/1,South Carolina,64.8
1986/5/1,South Dakota,68.4
1986/5/1,Tennessee,63.2
1986/5/1,Texas,68.4
1986/5/1,Utah,69.7
1986/5/1,Vermont,70.8
1986/5/1,Virginia,67.7
1986/5/1,Washington,65.6
1986/5/1,West Virginia,51.4
1986/5/1,Wisconsin,67.5
1986/5/1,Wyoming,70.3
1986/6/1,Alabama,61.9
1986/6/1,Alaska,73
1986/6/1,Arizona,64.9
1986/6/1,Arkansas,60.9
1986/6/1,California,66.5
1986/6/1,Colorado,70.5
1986/6/1,Connecticut,69.8
1986/6/1,Delaware,67.8
1986/6/1,District of Columbia,67.3
1986/6/1,Florida,60.8
1986/6/1,Georgia,67.1
1986/6/1,Hawaii,66.2
1986/6/1,Idaho,67
1986/6/1,Illinois,65.7
1986/6/1,Indiana,66.5
1986/6/1,Iowa,67.4
1986/6/1,Kansas,68.7
1986/6/1,Kentucky,61.9
1986/6/1,Louisiana,61.1
1986/6/1,Maine,64.1
1986/6/1,Maryland,69.4
1986/6/1,Massachusetts,67.2
1986/6/1,Michigan,64.2
1986/6/1,Minnesota,71.3
1986/6/1,Mississippi,61.8
1986/6/1,Missouri,65.6
1986/6/1,Montana,67.3
1986/6/1,Nebraska,68.9
1986/6/1,Nevada,72.4
1986/6/1,New Hampshire,71.9
1986/6/1,New Jersey,65.6
1986/6/1,New Mexico,63.3
1986/6/1,New York,61.5
1986/6/1,North Carolina,67.3
1986/6/1,North Dakota,68.1
1986/6/1,Ohio,64.5
1986/6/1,Oklahoma,65.5
1986/6/1,Oregon,66.5
1986/6/1,Pennsylvania,61
1986/6/1,Rhode Island,67
1986/6/1,South Carolina,65
1986/6/1,South Dakota,68.5
1986/6/1,Tennessee,63.3
1986/6/1,Texas,68.4
1986/6/1,Utah,69.8
1986/6/1,Vermont,70.8
1986/6/1,Virginia,67.8
1986/6/1,Washington,65.7
1986/6/1,West Virginia,51.5
1986/6/1,Wisconsin,67.6
1986/6/1,Wyoming,70.1
1986/7/1,Alabama,62
1986/7/1,Alaska,72.6
1986/7/1,Arizona,65
1986/7/1,Arkansas,61
1986/7/1,California,66.6
1986/7/1,Colorado,70.5
1986/7/1,Connecticut,69.8
1986/7/1,Delaware,67.7
1986/7/1,District of Columbia,67.4
1986/7/1,Florida,61
1986/7/1,Georgia,67.2
1986/7/1,Hawaii,66.2
1986/7/1,Idaho,67
1986/7/1,Illinois,65.7
1986/7/1,Indiana,66.6
1986/7/1,Iowa,67.5
1986/7/1,Kansas,68.8
1986/7/1,Kentucky,61.9
